pumping,freq,signal,scan_id
F1=2,17331.573989,0.39781622999999827,22
F1=2,17331.574016,0.40291414999999975,22
F1=2,17331.57404,0.79428941,22
F1=2,17331.574096,0.5019502299999988,22
F1=2,17331.574115,0.6974783600000011,22
F1=2,17331.574199,0.7093134599999911,22
F1=2,17331.574234,0.3962801099999992,22
F1=2,17331.574234,0.5050480499999987,22
F1=2,17331.574242,0.8915685199999973,22
F1=2,17331.574243,0.7085535600000005,22
F1=2,17331.574312,-0.0018683900000058885,22
F1=2,17331.574347,0.10242263000000457,22
F1=2,17331.574367,0.19719447999999554,22
F1=2,17331.574408,0.3023004700000073,22
F1=2,17331.574467,0.6045663799999946,22
F1=2,17331.574538,0.3045392299999995,22
F1=2,17331.57454,0.30382289999999396,22
F1=2,17331.57454,0.40313097999999825,22
F1=2,17331.574591,0.29818699000000376,22
